player_name,player_real_name,birth,country,status,team_name,earnings,role,signature_hero
[e][h] Alarm  ,Kim Kyung-bo,"July 21, 2001 (2001-07-21) (age 20)",South Korea,Active,Philadelphia Fusion,"$139,995",Support,"Ana
Zenyatta
Baptiste
Moira
Brigitte"
[e][h] Ameng  ,Ding Menghan,"September 29, 1996 (1996-09-29) (age 25)",China,Active,NA,"$63,364",Tank,"Wrecking Ball
Orisa
Reinhardt"
[e][h] Anamo  ,Jung Tae-sung,"September 2, 1997 (1997-09-02) (age 24)",South Korea,Active,Seoul Dynasty,"$251,179",Support,"Mercy
Lúcio
Baptiste
Brigitte"
[e][h] ANS  ,Lee Seon-chang,"February 4, 2000 (2000-02-04) (age 21)",South Korea,Active,San Francisco Shock,"$335,544",DPS,"Widowmaker
Ashe
McCree
Sombra"
[e][h] ANSOONJAE  ,An Soon-jae,"February 15, 2002 (2002-02-15) (age 19)",South Korea,Active,NA,"$6,581",Support,"Lúcio
Brigitte
Mercy"
[e][h] Architect  ,Park Min-ho,"February 26, 2000 (2000-02-26) (age 21)",South Korea,Active,Hangzhou Spark,"$269,809",DPS,"Genji
Pharah
Doomfist
Tracer
Widowmaker"
[e][h] Aspire  ,Luka Rolovic,NA,United States,Active,NA,"$5,828",DPS,"Tracer
Ashe
Hanzo
Widowmaker
McCree"
[e][h] Assassin  ,Kim Sung-won,"January 7, 2003 (2003-01-07) (age 18)",South Korea,Active,Washington Justice,"$38,889",DPS,"Genji
Echo
Pharah
Tracer
Sombra"
[e][h] Aztac  ,Park Jeong-su,"December 9, 1999 (1999-12-09) (age 21)",South Korea,Active,NA,"$21,965",Support,"Zenyatta
Baptiste
Ana
Moira"
[e][h] BeBe  ,Yoon Hee-chang,"February 3, 1999 (1999-02-03) (age 22)",South Korea,Active,Washington Justice,"$99,165",Support,"Zenyatta
Ana"
[e][h] BERNAR  ,Shin Se-won,"August 18, 2000 (2000-08-18) (age 21)",South Korea,Active,Hangzhou Spark,"$37,703",Tank,"D.Va
Zarya
Sigma
Roadhog"
[e][h] BiaNcA  ,Kim Dong-wook,"January 1, 2002 (2002-01-01) (age 19)",South Korea,Active,New York Excelsior,"$71,174",Tank,"D.Va
Zarya"
[e][h] birdring  ,Kim Ji-hyeok,"May 28, 1999 (1999-05-28) (age 22)",South Korea,Active,Los Angeles Gladiators,"$310,130",DPS,"Widowmaker
Tracer
McCree
Hanzo
Reaper"
[e][h] blasé  ,Jeffrey Tsang,"February 22, 1999 (1999-02-22) (age 22)",United States,Active,London Spitfire,"$10,685",DPS,"Doomfist
Pharah
Soldier: 76
Genji
Hanzo"
[e][h] BQB  ,Lee Sang-bum,"July 3, 1998 (1998-07-03) (age 23)",South Korea,Active,NA,"$36,011",DPS,"Sombra
McCree
Ashe
Reaper
Soldier: 76"
[e][h] Carpe  ,Lee Jae-hyeok,"October 14, 1998 (1998-10-14) (age 22)",South Korea,Active,Philadelphia Fusion,"$186,098",DPS,"McCree
Widowmaker
Tracer
Ashe
Hanzo"
[e][h] ChangSik  ,Moon Chang-sik,"July 1, 1997 (1997-07-01) (age 24)",South Korea,Active,Vancouver Titans,"$37,042",Tank,"Reinhardt
Winston
Wrecking Ball
Orisa"
[e][h] Checkmate  ,Baek Seung-hun,"May 8, 2001 (2001-05-08) (age 20)",South Korea,Active,NA,"$11,756","DPS
Tank","Genji
Tracer
Reaper
Hanzo
Echo"
[e][h] ChoiHyoBin  ,Choi Hyo-bin,"September 5, 1997 (1997-09-05) (age 24)",South Korea,Active,San Francisco Shock,"$586,164",Tank,"D.Va
Roadhog
Sigma
Zarya"
[e][h] ChoiSehwan  ,Choi Se-hwan,"October 13, 2002 (2002-10-13) (age 18)",South Korea,Active,Guangzhou Charge,"$15,925",DPS,"Genji
Pharah
Doomfist
Echo
Tracer"
[e][h] Closer  ,Jung Won-sik,"May 16, 1998 (1998-05-16) (age 23)",South Korea,Inactive,NA,"$248,344",Support,"Mercy
Brigitte
Lúcio
Baptiste
Ana"
[e][h] ColdEst  ,Tong Xiaodong,"March 13, 1999 (1999-03-13) (age 22)",China,Active,Hangzhou Spark,"$29,983",Support,"Zenyatta
Ana
Moira"
[e][h] Colourhex  ,Kelsey Birse,"November 17, 1997 (1997-11-17) (age 23)",New Zealand,Active,Boston Uprising,"$8,482",DPS,"Pharah
Echo
Widowmaker
Hanzo
Tracer"
[e][h] Cr0ng  ,Nam Ki-cheol,"October 3, 1998 (1998-10-03) (age 23)",South Korea,Active,Guangzhou Charge,"$47,855",Tank,"Sigma
Zarya
Roadhog
D.Va
Doomfist"
[e][h] Creative  ,Kim Young-wan,"November 4, 2001 (2001-11-04) (age 19)",South Korea,Active,Seoul Dynasty,"$152,085",Support,"Ana
Zenyatta
Baptiste"
